# data/ARRLDXmults.dat
#
# Author: Mark Bailey, KD4D
# Contact: kd4d@kd4d.org
# Date: 2025-08-03
# Version: 1.0.1-Beta
#
# This data file is released into the public domain.
#
# Purpose: Defines aliases for ARRL DX Contest multipliers.
# Format: ALIAS_1,ALIAS_2:Official_Abbreviation (Full Name)

# --- US States (48 Contiguous) ---
AL:AL (Alabama)
AZ,ARI,ARIZ:AZ (Arizona)
AR:AR (Arkansas)
CA:CA (California)
CO,COLO:CO (Colorado)
CT,CN,CON,CONN:CT (Connecticut)
DC:DC (District of Columbia)
DE,DEL,DL:DE (Delaware)
FL,FLA:FL (Florida)
GA:GA (Georgia)
ID,IDA:ID (Idaho)
IL,ILL:IL (Illinois)
IN:IN (Indiana)
IA,IO:IA (Iowa)
KS,KA,KANS:KS (Kansas)
KY,KEN,KTY:KY (Kentucky)
LA,LOU:LA (Louisiana)
ME,MAI:ME (Maine)
MD,MARY:MD (Maryland)
MA,MASS:MA (Massachusetts)
MI,MICH:MI (Michigan)
MN,MIN:MN (Minnesota)
MS,MISS,MIS:MS (Mississippi)
MO:MO (Missouri)
MT,MON:MT (Montana)
NE,NEB:NE (Nebraska)
NV,NEV:NV (Nevada)
NH:NH (New Hampshire)
NJ:NJ (New Jersey)
NM:NM (New Mexico)
NY:NY (New York)
NC:NC (North Carolina)
ND,NDAK:ND (North Dakota)
OH:OH (Ohio)
OK,OKLA:OK (Oklahoma)
OR,ORE:OR (Oregon)
PA:PA (Pennsylvania)
RI:RI (Rhode Island)
SC:SC (South Carolina)
SD,SDAK:SD (South Dakota)
TN,TEN,TENN:TN (Tennessee)
TX,TEX:TX (Texas)
UT:UT (Utah)
VT,VER:VT (Vermont)
VA:VA (Virginia)
WA,WAS,WASH:WA (Washington)
WV:WV (West Virginia)
WI,WIS,WS:WI (Wisconsin)
WY,WYO:WY (Wyoming)

# --- Canadian Provinces/Territories ---
VE6,AB,ALB,ALT,ALTA,AT:AB (Alberta)
VE7,BC:BC (British Columbia)
VO2,LB,LAB:LB (Labrador)
VE4,MB,MAN:MB (Manitoba)
VE9,NB:NB (New Brunswick)
VO1,NF:NF (Newfoundland)
VE1,NS:NS (Nova Scotia)
VE8,NT,NW,NWT:NT (Northwest Territories)
VY0,NU:NU (Nunavut)
VE3,ON,ONT:ON (Ontario)
VY2,PE,PEI:PE (Prince Edward Island)
VE2,PQ,QU,QUE:QC (Quebec)
VE5,SK,SA,SASK:SK (Saskatchewan)
VY1,YT,YK,YU,YUK:YT (Yukon)
