# Contest Log Analyzer/data/arrl_10_mults.dat
#
# Version: 0.33.0-Beta
# Date: 2025-08-12
#
# Purpose: Defines the complete set of valid State and Province multipliers
#          for the ARRL 10 Meter contest. This list is the definitive
#          source of truth for this contest. Aliases have been consolidated
#          from other .dat files in the project for robustness.

# --- US States ---
AL:AL (Alabama)
AK,ALAS,KL7:AK (Alaska)
AZ,ARI,ARIZ:AZ (Arizona)
AR:AR (Arkansas)
CA:CA (California)
CO,COLO:CO (Colorado)
CT,CN,CON,CONN:CT (Connecticut)
DC,WDC:DC (District of Columbia)
DE,DEL,DL:DE (Delaware)
FL,FLA:FL (Florida)
GA:GA (Georgia)
HI,KH6:HI (Hawaii)
ID,IDA:ID (Idaho)
IL,ILL:IL (Illinois)
IN:IN (Indiana)
IA,IO:IA (Iowa)
KS,KA,KANS:KS (Kansas)
KY,KEN,KTY:KY (Kentucky)
LA,LOU:LA (Louisiana)
ME,MAI:ME (Maine)
MD,MDC,MARY:MD (Maryland)
MA,MASS:MA (Massachusetts)
MI,MICH:MI (Michigan)
MN,MIN:MN (Minnesota)
MS,MISS,MIS:MS (Mississippi)
MO:MO (Missouri)
MT,MON:MT (Montana)
NE,NEB:NE (Nebraska)
NV,NEV:NV (Nevada)
NH:NH (New Hampshire)
NJ:NJ (New Jersey)
NM:NM (New Mexico)
NY:NY (New York)
NC:NC (North Carolina)
ND,NDAK:ND (North Dakota)
OH:OH (Ohio)
OK,OKLA:OK (Oklahoma)
OR,ORE:OR (Oregon)
PA:PA (Pennsylvania)
RI:RI (Rhode Island)
SC:SC (South Carolina)
SD,SDAK:SD (South Dakota)
TN,TEN,TENN:TN (Tennessee)
TX,TEX:TX (Texas)
UT:UT (Utah)
VT:VT (Vermont)
VA:VA (Virginia)
WA,WAS,WASH:WA (Washington)
WV:WV (West Virginia)
WI,WIS,WS:WI (Wisconsin)
WY,WYO:WY (Wyoming)

# --- Canadian Provinces ---
AB,ALB,ALT,ALTA,AT,VA6,VE6:AB (Alberta)
BC,VA7,VE7:BC (British Columbia)
LB,LAB,VO2:LB (Labrador)
MB,MAN,VA4,VE4:MB (Manitoba)
NB,VE9:NB (New Brunswick)
NF,VO1:NF (Newfoundland)
NS,VA1,VE1:NS (Nova Scotia)
NT,NW,NWT,VE8:NT (Northwest Territories)
NU,VY0:NU (Nunavut)
ON,ONT,VA3,VE3:ON (Ontario)
PE,PEI,VY2:PE (Prince Edward Island)
QC,PQ,QU,QUE,VA2,VE2:QC (Quebec)
SK,SA,SASK,VA5,VE5:SK (Saskatchewan)
YT,YK,YU,YUK,VY1:YT (Yukon Territories)

# --- Mexican States ---
AGS:AGS (Aguascalientes)
BAC:BAC (Baja California)
BCS:BCS (Baja California Sur)
CAM:CAM (Campeche)
CHI:CHI (Chiapas)
CHH:CHH (Chihuahua)
CMX:CMX (Ciudad de Mexico)
COA:COA (Coahuila)
COL:COL (Colima)
DGO:DGO (Durango)
EMX:EMX (Estado de Mexico)
GTO:GTO (Guanajuato)
GRO:GRO (Guerrero)
HGO:HGO (Hidalgo)
JAL:JAL (Jalisco)
MIC:MIC (Michoacan)
MOR:MOR (Morelos)
NAY:NAY (Nayarit)
NLE:NLE (Nuevo Leon)
OAX:OAX (Oaxaca)
PUE:PUE (Puebla)
QRO:QRO (Queretaro)
QUI:QUI (Quintana Roo)
SLP:SLP (San Luis Potosi)
SIN:SIN (Sinaloa)
SON:SON (Sonora)
TAB:TAB (Tabasco)
TAM:TAM (Tamaulipas)
TLX:TLX (Tlaxcala)
VER:VER (Veracruz)
YUC:YUC (Yucatan)
ZAC:ZAC (Zacatecas)
