# data/NAQPmults.dat
#
# Author: Mark Bailey, KD4D
# Contact: kd4d@kd4d.org
# Date: 2025-08-03
# Version: 1.0.1-Beta
#
# This data file is released into the public domain.
#
# Purpose: Defines aliases for North American QSO Party multipliers.
# Format: ALIAS_1,ALIAS_2:OFFICIAL_ABBREV (Full Name)

# Canadian Provinces/Territories
AB,ALB,ALT,ALTA,AT,VA6,VE6:AB (Alberta)
BC,VA7,VE7:BC (British Columbia)
MB,MAN,VA4,VE4:MB (Manitoba)
NB,VE1,VE9:NB (New Brunswick)
NL,LAB,LB,NF,VO1,VO2:NL (Newfoundland and Labrador)
NS,VA1,VE1:NS (Nova Scotia)
NT,NW,NWT,VE8:NT (Northwest Territories)
NU,VY0:NU (Nunavut)
ON,ONT,VA3,VE3:ON (Ontario)
PE,PEI,VY2:PE (Prince Edward Island)
QC,PQ,QU,QUE,VA2,VE2:QC (Quebec)
SK,SA,SAS,SASK,VA5,VE5:SK (Saskatchewan)
YT,YK,YU,YUK,VY1:YT (Yukon)

# US States and DC
AK,ALAS,KL7:AK (Alaska)
AL:AL (Alabama)
AR:AR (Arkansas)
AZ,ARIZ:AZ (Arizona)
CA:CA (California)
CO,COLO:CO (Colorado)
CT,CN,CON,CONN:CT (Connecticut)
DC,WDC:DC (District of Columbia)
DE,DL,DEL:DE (Delaware)
FL,FLA:FL (Florida)
GA:GA (Georgia)
HI,KH6:HI (Hawaii)
IA,IO:IA (Iowa)
ID,IDA:ID (Idaho)
IL,ILL:IL (Illinois)
IN:IN (Indiana)
KS,KA,KANS:KS (Kansas)
KY,KEN,KTY:KY (Kentucky)
LA,LOU:LA (Louisiana)
MA,MASS:MA (Massachusetts)
MD,MARY:MD (Maryland)
ME,MAI:ME (Maine)
MI,MICH:MI (Michigan)
MN,MIN:MN (Minnesota)
MO:MO (Missouri)
MS,MISS:MS (Mississippi)
MT,MON:MT (Montana)
NC:NC (North Carolina)
ND,NDAK:ND (North Dakota)
NE,NEB:NE (Nebraska)
NH:NH (New Hampshire)
NJ:NJ (New Jersey)
NM:NM (New Mexico)
NV,NEV:NV (Nevada)
NY:NY (New York)
OH:OH (Ohio)
OK,OKLA:OK (Oklahoma)
OR,ORE:OR (Oregon)
PA:PA (Pennsylvania)
RI:RI (Rhode Island)
SC:SC (South Carolina)
SD,SDAK:SD (South Dakota)
TN,TEN,TENN:TN (Tennessee)
TX,TEX:TX (Texas)
UT:UT (Utah)
VA:VA (Virginia)
VT,VER:VT (Vermont)
WA,WAS,WASH:WA (Washington)
WI,WIS,WS:WI (Wisconsin)
WV:WV (West Virginia)
WY,WYO:WY (Wyoming)
